
Product name,Brand,Pack size,Category,Asda current price,Asda low price,Asda high price,Price checked date,Notes,Source / status
Heinz Baked Beans,Heinz,415g,Cupboard,1.00,1.00,1.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Heinz Tomato Ketchup,Heinz,460g,Condiments,2.50,2.50,2.50,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Hellmann's Mayonnaise,Hellmann's,400g,Condiments,2.25,2.25,2.25,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Warburtons Medium Sliced Bread,Warburtons,800g,Bakery,1.40,1.40,1.40,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Hovis Soft White Bread,Hovis,800g,Bakery,1.39,1.39,1.39,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Kingsmill 50/50 Bread,Kingsmill,800g,Bakery,1.23,1.23,1.23,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Weetabix Cereal,Weetabix,430g,Breakfast,,,,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Kellogg's Corn Flakes,Kellogg's,450g,Breakfast,2.00,2.00,2.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Quaker Oats,Quaker,1kg,Breakfast,2.75,2.75,2.75,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
McVitie's Digestives,McVitie's,400g,Biscuits,3.00,3.00,3.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
McVitie's Hobnobs,McVitie's,255g,Biscuits,1.29,1.29,1.29,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Walkers Ready Salted Crisps,Walkers,6 pack,Snacks,,,,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Doritos Chilli Heatwave,Doritos,180g,Snacks,1.75,1.75,1.75,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Coca-Cola Original Taste,Coca-Cola,2L,Drinks,2.15,2.15,2.15,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Pepsi Max,Pepsi,2L,Drinks,1.50,1.50,1.50,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Robinsons Orange Squash,Robinsons,1L,Drinks,1.80,1.80,1.80,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Tetley Tea Bags,Tetley,80 pack,Drinks,,,,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Nescafe Gold Blend,Nescafe,200g,Hot Drinks,5.99,5.99,5.99,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
PG Tips Tea Bags,PG Tips,80 pack,Hot Drinks,2.49,2.49,2.49,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Lurpak Slightly Salted Butter,Lurpak,250g,Dairy,2.40,2.40,2.40,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Anchor Butter,Anchor,250g,Dairy,3.00,3.00,3.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Cathedral City Mature Cheddar,Cathedral City,350g,Dairy,2.99,2.99,2.99,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Philadelphia Original Soft Cheese,Philadelphia,165g,Dairy,1.00,1.00,1.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
Muller Corner Yogurt,Muller,124g,Dairy,2.00,2.00,2.00,2026-04-23,Market-matched via Trolley where available; not direct Asda confirmation,Market-matched via Trolley; not direct Asda confirmation
